DOID	Metab
DOID:9970	HMDB0000210
DOID:8778	HMDB0000210
DOID:13922	HMDB0000210
DOID:5419	HMDB0000211
DOID:10652	HMDB0000211
DOID:9256	HMDB0000211
DOID:13922	HMDB0000211
DOID:9256	HMDB0000212
DOID:9256	HMDB0000213
DOID:10652	HMDB0000214
DOID:9271	HMDB0000214
DOID:9256	HMDB0000214
DOID:5419	HMDB0000214
DOID:0060439	HMDB0000214
DOID:9970	HMDB0000214
DOID:0060067	HMDB0000214
DOID:1415	HMDB0000214
DOID:0070132	HMDB0000214
DOID:0080099	HMDB0000214
DOID:12849	HMDB0000214
DOID:8778	HMDB0000214
DOID:1793	HMDB0000214
DOID:3388	HMDB0000214
DOID:9255	HMDB0000214
DOID:9266	HMDB0000214
DOID:13922	HMDB0000214
DOID:9274	HMDB0000214
DOID:9256	HMDB0000215
DOID:0060228	HMDB0000216
DOID:0050771	HMDB0000216
DOID:0090145	HMDB0000216
DOID:5419	HMDB0000216
DOID:10283	HMDB0000218
DOID:9256	HMDB0000220
DOID:5419	HMDB0000220
DOID:13922	HMDB0000220
DOID:10608	HMDB0000222
DOID:0080155	HMDB0000222
DOID:9970	HMDB0000222
DOID:9256	HMDB0000222
DOID:13922	HMDB0000222
DOID:8778	HMDB0000224
DOID:9256	HMDB0000224
DOID:13922	HMDB0000224
DOID:0110913	HMDB0000224
DOID:3613	HMDB0000226
DOID:9256	HMDB0000226
DOID:8778	HMDB0000226
DOID:9271	HMDB0000226
DOID:0050833	HMDB0000226
DOID:0050720	HMDB0000226
DOID:0060439	HMDB0000226
DOID:14692	HMDB0000227
DOID:0050452	HMDB0000227
DOID:9256	HMDB0000228
DOID:8778	HMDB0000228
DOID:12849	HMDB0000228
DOID:10608	HMDB0000228
DOID:13922	HMDB0000228
DOID:9256	HMDB0000230
DOID:3659	HMDB0000230
DOID:12365	HMDB0000232
DOID:332	HMDB0000232
DOID:13922	HMDB0000232
DOID:1924	HMDB0000234
DOID:10283	HMDB0000234
DOID:5419	HMDB0000234
DOID:0050811	HMDB0000234
DOID:0050811	HMDB0000234
DOID:0050811	HMDB0000234
DOID:0050811	HMDB0000234
DOID:0050546	HMDB0000234
DOID:1700	HMDB0000234
DOID:0050811	HMDB0000234
DOID:12705	HMDB0000235
DOID:2476	HMDB0000235
DOID:9256	HMDB0000235
DOID:14701	HMDB0000237
DOID:14749	HMDB0000237
DOID:9256	HMDB0000237
DOID:10608	HMDB0000237
DOID:8778	HMDB0000237
DOID:12849	HMDB0000237
DOID:7148	HMDB0000237
DOID:13922	HMDB0000237
DOID:0111168	HMDB0000238
DOID:8778	HMDB0000239
DOID:9256	HMDB0000239
DOID:13922	HMDB0000239
DOID:0111164	HMDB0000240
DOID:13270	HMDB0000241
DOID:10652	HMDB0000243
DOID:0050710	HMDB0000243
DOID:9256	HMDB0000243
DOID:9744	HMDB0000243
DOID:5419	HMDB0000243
DOID:9255	HMDB0000243
DOID:5204	HMDB0000243
DOID:10534	HMDB0000243
DOID:3649	HMDB0000243
DOID:0050476	HMDB0000243
DOID:3652	HMDB0000243
DOID:13922	HMDB0000243
DOID:9269	HMDB0000243
DOID:0080363	HMDB0000243
DOID:0060067	HMDB0000243
DOID:3649	HMDB0000243
DOID:8689	HMDB0000244
DOID:0050694	HMDB0000244
DOID:9256	HMDB0000244
DOID:13922	HMDB0000244
DOID:3890	HMDB0000245
DOID:13270	HMDB0000245
DOID:10652	HMDB0000247
DOID:8778	HMDB0000247
DOID:9256	HMDB0000247
DOID:13922	HMDB0000247
DOID:8689	HMDB0000248
DOID:0050811	HMDB0000248
DOID:9406	HMDB0000248
DOID:0060744	HMDB0000248
DOID:0070124	HMDB0000248
DOID:0090110	HMDB0000248
